entry_id,redox_couple,oxidized_species,reduced_species,E0_V_vs_SHE,pH,temperature_K,oxidized_MP_ID,reduced_MP_ID,oxidized_spacegroup,reduced_spacegroup,oxidized_crystal_system,reduced_crystal_system,reference_DOI,half_reaction
138,Li2CuSiO4/CuSiO4,CuSiO4,Li2CuSiO4,3.0,7.0,298.15,mp-676141,mp-676140,Pmn2_1,Pmn2_1,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li2CuSiO4/CuSiO4 redox reaction
139,Li2NiSiO4/NiSiO4,NiSiO4,Li2NiSiO4,4.7,7.0,298.15,mp-676141,mp-676140,Pmn2_1,Pmn2_1,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li2NiSiO4/NiSiO4 redox reaction
140,Li3V2(PO4)3/V2(PO4)3,V2(PO4)3,Li3V2(PO4)3,3.8,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,Li3V2(PO4)3/V2(PO4)3 redox reaction
141,LiVOPO4/VOPO4,VOPO4,LiVOPO4,3.9,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiVOPO4/VOPO4 redox reaction
142,LiMnPO4/MnPO4,MnPO4,LiMnPO4,4.1,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiMnPO4/MnPO4 redox reaction
143,LiCoPO4/CoPO4,CoPO4,LiCoPO4,4.8,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiCoPO4/CoPO4 redox reaction
144,LiNiPO4/NiPO4,NiPO4,LiNiPO4,5.1,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiNiPO4/NiPO4 redox reaction
145,LiCuPO4/CuPO4,CuPO4,LiCuPO4,3.5,7.0,298.15,mp-5560,mp-5561,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1021/acsami.4c15742,LiCuPO4/CuPO4 redox reaction
146,Li4Ti5O12/Ti5O12,Li4Ti5O12,Ti5O12,1.55,7.0,298.15,mp-5560,mp-5561,Fd-3m,Fd-3m,Cubic,Cubic,10.1021/acsami.4c15742,Li4Ti5O12/Ti5O12 redox reaction
147,Li2RuO3/RuO2,RuO2,Li2RuO3,3.6,7.0,298.15,mp-864,mp-864,C2/m,P4_2/mnm,Monoclinic,Tetragonal,10.1021/acsami.4c15742,Li2RuO3/RuO2 redox reaction
148,Li2IrO3/IrO2,IrO2,Li2IrO3,3.8,7.0,298.15,mp-101,mp-101,C2/m,P4_2/mnm,Monoclinic,Tetragonal,10.1021/acsami.4c15742,Li2IrO3/IrO2 redox reaction
149,Li2SnO3/SnO2,SnO2,Li2SnO3,2.5,7.0,298.15,mp-1179,mp-1179,C2/c,P4_2/mnm,Monoclinic,Tetragonal,10.1021/acsami.4c15742,Li2SnO3/SnO2 redox reaction
150,Li2TiO3/TiO2,TiO2,Li2TiO3,1.5,7.0,298.15,mp-2664,mp-2664,C2/c,I4_1/amd,Monoclinic,Tetragonal,10.1021/acsami.4c15742,Li2TiO3/TiO2 redox reaction
151,Li2ZrO3/ZrO2,ZrO2,Li2ZrO3,2.0,7.0,298.15,mp-63,mp-63,C2/c,P2_1/c,Monoclinic,Monoclinic,10.1021/acsami.4c15742,Li2ZrO3/ZrO2 redox reaction
152,LiNbO3/Nb2O5,Nb2O5,LiNbO3,2.0,7.0,298.15,mp-15,mp-15,R3c,Pmmn,Rhombohedral,Orthorhombic,10.1021/acsami.4c15742,LiNbO3/Nb2O5 redox reaction
153,Li2WO4/WO3,WO3,Li2WO4,2.7,7.0,298.15,mp-19,mp-19,P2_1/c,Pm-3m,Monoclinic,Cubic,10.1021/acsami.4c15742,Li2WO4/WO3 redox reaction
154,Li2MoO3/MoO3,MoO3,Li2MoO3,2.5,7.0,298.15,mp-6773,mp-6773,R-3,R-3,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,Li2MoO3/MoO3 redox reaction
155,Li2MoO4/MoO3,MoO3,Li2MoO4,2.5,7.0,298.15,mp-6773,mp-6773,P2_1/c,Pm-3m,Monoclinic,Cubic,10.1021/acsami.4c15742,Li2MoO4/MoO3 redox reaction
156,LiTaO3/Ta2O5,Ta2O5,LiTaO3,2.3,7.0,298.15,mp-17,mp-17,R3c,Pmmn,Rhombohedral,Orthorhombic,10.1021/acsami.4c15742,LiTaO3/Ta2O5 redox reaction
157,LiFeO2/FeO2,FeO2,LiFeO2,3.6,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiFeO2/FeO2 redox reaction
158,LiNi0.5Mn0.5O2/NMC,Ni0.5Mn0.5O2,LiNi0.5Mn0.5O2,4.0,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiNi0.5Mn0.5O2/NMC redox reaction
159,LiNi0.8Co0.15Al0.05O2/NCA,Ni0.8Co0.15Al0.05O2,LiNi0.8Co0.15Al0.05O2,3.75,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiNi0.8Co0.15Al0.05O2/NCA redox reaction
160,LiNi0.33Mn0.33Co0.33O2/NMC111,Ni0.33Mn0.33Co0.33O2,LiNi0.33Mn0.33Co0.33O2,3.85,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1021/acsami.4c15742,LiNi0.33Mn0.33Co0.33O2/NMC111 redox reaction
161,NaFePO4/FePO4,FePO4,NaFePO4,2.7,7.0,298.15,mp-20361,mp-19017,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,NaFePO4/FePO4 redox reaction
162,NaMnO2/MnO2,MnO2,NaMnO2,3.2,7.0,298.15,mp-22526,mp-18713,P42/mnm,C2/m,Tetragonal,Monoclinic,10.1016/j.jpowsour.2024.236035,NaMnO2/MnO2 redox reaction
163,NaCoO2/CoO2,CoO2,NaCoO2,3.3,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1016/j.jpowsour.2024.236035,NaCoO2/CoO2 redox reaction
164,NaNiO2/NiO2,NiO2,NaNiO2,3.4,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1016/j.jpowsour.2024.236035,NaNiO2/NiO2 redox reaction
165,Na3V2(PO4)3/V2(PO4)3,V2(PO4)3,Na3V2(PO4)3,3.4,7.0,298.15,mp-5560,mp-5561,R-3c,R-3c,Rhombohedral,Rhombohedral,10.1016/j.jpowsour.2024.236035,Na3V2(PO4)3/V2(PO4)3 redox reaction
166,NaCrO2/CrO2,CrO2,NaCrO2,3.0,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1016/j.jpowsour.2024.236035,NaCrO2/CrO2 redox reaction
167,Na2FePO4F/FePO4F,FePO4F,Na2FePO4F,3.0,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,Na2FePO4F/FePO4F redox reaction
168,Na2MnPO4F/MnPO4F,MnPO4F,Na2MnPO4F,3.5,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,Na2MnPO4F/MnPO4F redox reaction
169,Na2CoPO4F/CoPO4F,CoPO4F,Na2CoPO4F,4.3,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,Na2CoPO4F/CoPO4F redox reaction
170,NaVPO4F/VPO4F,VPO4F,NaVPO4F,3.9,7.0,298.15,mp-6773,mp-6773,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,NaVPO4F/VPO4F redox reaction
171,KFePO4/FePO4,FePO4,KFePO4,2.8,7.0,298.15,mp-20361,mp-19017,Pnma,Pnma,Orthorhombic,Orthorhombic,10.1016/j.jpowsour.2024.236035,KFePO4/FePO4 redox reaction
172,KMnO2/MnO2,MnO2,KMnO2,2.9,7.0,298.15,mp-22526,mp-18713,P42/mnm,C2/m,Tetragonal,Monoclinic,10.1016/j.jpowsour.2024.236035,KMnO2/MnO2 redox reaction
173,KCoO2/CoO2,CoO2,KCoO2,3.1,7.0,298.15,mp-20493,mp-20493,R-3m,R-3m,Rhombohedral,Rhombohedral,10.1016/j.jpowsour.2024.236035,KCoO2/CoO2 redox reaction
174,Fe2O3/Fe3O4,Fe2O3,Fe3O4,0.221,7.0,298.15,mp-19770,mp-19306,R-3c,Fd-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Fe2O3/Fe3O4 oxide redox
175,Fe3O4/FeO,Fe3O4,FeO,0.43,7.0,298.15,mp-19306,mp-19006,Fd-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,Fe3O4/FeO oxide redox
176,MnO2/Mn2O3,MnO2,Mn2O3,0.59,7.0,298.15,mp-22526,mp-19017,P42/mnm,R-3c,Tetragonal,Rhombohedral,10.1073/pnas.2320134121,MnO2/Mn2O3 oxide redox
177,Mn2O3/Mn3O4,Mn2O3,Mn3O4,0.45,7.0,298.15,mp-19017,mp-18712,R-3c,I41/amd,Rhombohedral,Tetragonal,10.1073/pnas.2320134121,Mn2O3/Mn3O4 oxide redox
178,Mn3O4/MnO,Mn3O4,MnO,0.3,7.0,298.15,mp-18712,mp-19006,I41/amd,Fm-3m,Tetragonal,Cubic,10.1073/pnas.2320134121,Mn3O4/MnO oxide redox
179,Co3O4/CoO,Co3O4,CoO,0.53,7.0,298.15,mp-18712,mp-19006,Fd-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,Co3O4/CoO oxide redox
180,NiO/Ni,NiO,Ni,0.257,7.0,298.15,mp-1024,mp-23,Fm-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,NiO/Ni oxide redox
181,CuO/Cu2O,CuO,Cu2O,0.43,7.0,298.15,mp-19009,mp-554,C2/c,Pn-3m,Monoclinic,Cubic,10.1073/pnas.2320134121,CuO/Cu2O oxide redox
182,Cu2O/Cu,Cu2O,Cu,0.36,7.0,298.15,mp-554,mp-30,Pn-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,Cu2O/Cu oxide redox
183,CuO/Cu,CuO,Cu,0.57,7.0,298.15,mp-19009,mp-30,C2/c,Fm-3m,Monoclinic,Cubic,10.1073/pnas.2320134121,CuO/Cu oxide redox
184,Fe2O3/FeO,Fe2O3,FeO,0.28,7.0,298.15,mp-19770,mp-19006,R-3c,Fm-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Fe2O3/FeO oxide redox
185,FeO/Fe,FeO,Fe,-0.447,7.0,298.15,mp-19006,mp-13,Fm-3m,Im-3m,Cubic,Cubic,10.1073/pnas.2320134121,FeO/Fe oxide redox
186,CoO/Co,CoO,Co,-0.28,7.0,298.15,mp-19006,mp-54,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,CoO/Co oxide redox
187,ZnO/Zn,ZnO,Zn,-0.762,7.0,298.15,mp-2133,mp-794,P63mc,P63/mmc,Hexagonal,Hexagonal,10.1073/pnas.2320134121,ZnO/Zn oxide redox
188,CdO/Cd,CdO,Cd,-0.403,7.0,298.15,mp-1519,mp-1519,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,CdO/Cd oxide redox
189,PbO/Pb,PbO,Pb,-0.126,7.0,298.15,mp-20529,mp-1518,P4_2/mnm,Fm-3m,Tetragonal,Cubic,10.1073/pnas.2320134121,PbO/Pb oxide redox
190,SnO2/Sn,SnO2,Sn,-0.14,7.0,298.15,mp-1179,mp-117,P4_2/mnm,I41/amd,Tetragonal,Tetragonal,10.1073/pnas.2320134121,SnO2/Sn oxide redox
191,SnO/Sn,SnO,Sn,-0.1,7.0,298.15,mp-1179,mp-117,P4_2/mnm,I41/amd,Tetragonal,Tetragonal,10.1073/pnas.2320134121,SnO/Sn oxide redox
192,TiO2/Ti2O3,TiO2,Ti2O3,0.1,7.0,298.15,mp-2664,mp-19365,I4_1/amd,R-3c,Tetragonal,Rhombohedral,10.1073/pnas.2320134121,TiO2/Ti2O3 oxide redox
193,Ti2O3/TiO,Ti2O3,TiO,-0.2,7.0,298.15,mp-19365,mp-19006,R-3c,Fm-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Ti2O3/TiO oxide redox
194,V2O5/V2O3,V2O5,V2O3,0.337,7.0,298.15,mp-25279,mp-19365,Pmmn,R-3c,Orthorhombic,Rhombohedral,10.1073/pnas.2320134121,V2O5/V2O3 oxide redox
195,V2O5/VO2,V2O5,VO2,0.34,7.0,298.15,mp-25279,mp-19094,Pmmn,I4_1/a,Orthorhombic,Tetragonal,10.1073/pnas.2320134121,V2O5/VO2 oxide redox
196,VO2/V2O3,VO2,V2O3,0.33,7.0,298.15,mp-19094,mp-19365,I4_1/a,R-3c,Tetragonal,Rhombohedral,10.1073/pnas.2320134121,VO2/V2O3 oxide redox
197,Cr2O3/Cr,Cr2O3,Cr,-0.744,7.0,298.15,mp-19317,mp-90,R-3c,Im-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Cr2O3/Cr oxide redox
198,MoO3/MoO2,MoO3,MoO2,0.4,7.0,298.15,mp-6773,mp-19006,Pbnm,P2_1/c,Orthorhombic,Monoclinic,10.1073/pnas.2320134121,MoO3/MoO2 oxide redox
199,MoO2/Mo,MoO2,Mo,-0.2,7.0,298.15,mp-19006,mp-29,P2_1/c,Im-3m,Monoclinic,Cubic,10.1073/pnas.2320134121,MoO2/Mo oxide redox
200,WO3/WO2,WO3,WO2,0.35,7.0,298.15,mp-19,mp-19006,Pm-3m,P2_1/c,Cubic,Monoclinic,10.1073/pnas.2320134121,WO3/WO2 oxide redox
201,WO2/W,WO2,W,0.1,7.0,298.15,mp-19006,mp-19,P2_1/c,Im-3m,Monoclinic,Cubic,10.1073/pnas.2320134121,WO2/W oxide redox
202,RuO2/Ru,RuO2,Ru,0.45,7.0,298.15,mp-864,mp-864,P4_2/mnm,P63/mmc,Tetragonal,Hexagonal,10.1073/pnas.2320134121,RuO2/Ru oxide redox
203,IrO2/Ir,IrO2,Ir,0.97,7.0,298.15,mp-101,mp-101,P4_2/mnm,Fm-3m,Tetragonal,Cubic,10.1073/pnas.2320134121,IrO2/Ir oxide redox
204,PdO/Pd,PdO,Pd,0.951,7.0,298.15,mp-4,mp-2,P4_2/mmc,Fm-3m,Tetragonal,Cubic,10.1073/pnas.2320134121,PdO/Pd oxide redox
205,PtO2/Pt,PtO2,Pt,1.18,7.0,298.15,mp-126,mp-126,Pnnm,Fm-3m,Orthorhombic,Cubic,10.1073/pnas.2320134121,PtO2/Pt oxide redox
206,Ag2O/Ag,Ag2O,Ag,0.342,7.0,298.15,mp-124,mp-124,Pn-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,Ag2O/Ag oxide redox
207,Au2O3/Au,Au2O3,Au,1.498,7.0,298.15,mp-12681,mp-81,Fd-3m,Fm-3m,Cubic,Cubic,10.1073/pnas.2320134121,Au2O3/Au oxide redox
208,Al2O3/Al,Al2O3,Al,-1.662,7.0,298.15,mp-2664,mp-134,R-3c,Fm-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Al2O3/Al oxide redox
209,MgO/Mg,MgO,Mg,-2.372,7.0,298.15,mp-1265,mp-1104,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,MgO/Mg oxide redox
210,CaO/Ca,CaO,Ca,-2.868,7.0,298.15,mp-2605,mp-1018,Fm-3m,Im-3m,Cubic,Cubic,10.1073/pnas.2320134121,CaO/Ca oxide redox
211,SiO2/Si,SiO2,Si,-0.909,7.0,298.15,mp-6930,mp-149,P3_121,Fd-3m,Trigonal,Cubic,10.1073/pnas.2320134121,SiO2/Si oxide redox
212,GeO2/Ge,GeO2,Ge,-0.12,7.0,298.15,mp-31,mp-31,P3_121,Fd-3m,Trigonal,Cubic,10.1073/pnas.2320134121,GeO2/Ge oxide redox
213,Sb2O3/Sb,Sb2O3,Sb,0.152,7.0,298.15,mp-104,mp-104,Pccn,R-3m,Orthorhombic,Rhombohedral,10.1073/pnas.2320134121,Sb2O3/Sb oxide redox
214,Bi2O3/Bi,Bi2O3,Bi,0.308,7.0,298.15,mp-1018,mp-1018,P2_1/c,R-3m,Monoclinic,Rhombohedral,10.1073/pnas.2320134121,Bi2O3/Bi oxide redox
215,Nb2O5/Nb2O3,Nb2O5,Nb2O3,0.1,7.0,298.15,mp-15,mp-15,Pmmn,R-3c,Orthorhombic,Rhombohedral,10.1073/pnas.2320134121,Nb2O5/Nb2O3 oxide redox
216,Ta2O5/Ta2O3,Ta2O5,Ta2O3,0.15,7.0,298.15,mp-17,mp-17,Pmmn,R-3c,Orthorhombic,Rhombohedral,10.1073/pnas.2320134121,Ta2O5/Ta2O3 oxide redox
217,ZrO2/Zr,ZrO2,Zr,-1.453,7.0,298.15,mp-63,mp-63,P2_1/c,P63/mmc,Monoclinic,Hexagonal,10.1073/pnas.2320134121,ZrO2/Zr oxide redox
218,HfO2/Hf,HfO2,Hf,-1.505,7.0,298.15,mp-63,mp-63,P2_1/c,P63/mmc,Monoclinic,Hexagonal,10.1073/pnas.2320134121,HfO2/Hf oxide redox
219,CeO2/Ce2O3,CeO2,Ce2O3,0.4,7.0,298.15,mp-19359,mp-19358,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,CeO2/Ce2O3 oxide redox
220,PrO2/Pr2O3,PrO2,Pr2O3,0.5,7.0,298.15,mp-19359,mp-19358,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,PrO2/Pr2O3 oxide redox
221,TbO2/Tb2O3,TbO2,Tb2O3,0.6,7.0,298.15,mp-19359,mp-19358,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,TbO2/Tb2O3 oxide redox
222,UO2/UO2+,UO2,UO2+,0.33,7.0,298.15,mp-796,mp-796,Fm-3m,I4/mmm,Cubic,Tetragonal,10.1073/pnas.2320134121,UO2/UO2+ oxide redox
223,Co2O3/Co3O4,Co2O3,Co3O4,0.53,7.0,298.15,mp-19009,mp-18712,R-3c,Fd-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Co2O3/Co3O4 oxide redox
224,Pb3O4/PbO,Pb3O4,PbO,0.25,7.0,298.15,mp-20529,mp-20529,P4_2/mnm,P4_2/mnm,Tetragonal,Tetragonal,10.1073/pnas.2320134121,Pb3O4/PbO oxide redox
225,MnO2/MnO,MnO2,MnO,0.3,7.0,298.15,mp-22526,mp-19006,P42/mnm,Fm-3m,Tetragonal,Cubic,10.1073/pnas.2320134121,MnO2/MnO oxide redox
226,Fe3O4/Fe2O3,Fe3O4,Fe2O3,-0.221,7.0,298.15,mp-19306,mp-19770,Fd-3m,R-3c,Cubic,Rhombohedral,10.1073/pnas.2320134121,Fe3O4/Fe2O3 oxide redox
227,Cu2O/CuO,Cu2O,CuO,-0.43,7.0,298.15,mp-554,mp-19009,Pn-3m,C2/c,Cubic,Monoclinic,10.1073/pnas.2320134121,Cu2O/CuO oxide redox
228,TiO/Ti,TiO,Ti,-1.63,7.0,298.15,mp-19006,mp-72,Fm-3m,P63/mmc,Cubic,Hexagonal,10.1073/pnas.2320134121,TiO/Ti oxide redox
229,VO2/V2O5,VO2,V2O5,-0.34,7.0,298.15,mp-19094,mp-25279,I4_1/a,Pmmn,Tetragonal,Orthorhombic,10.1073/pnas.2320134121,VO2/V2O5 oxide redox
230,V2O3/VO2,V2O3,VO2,-0.33,7.0,298.15,mp-19365,mp-19094,R-3c,I4_1/a,Rhombohedral,Tetragonal,10.1073/pnas.2320134121,V2O3/VO2 oxide redox
231,ReO3/ReO2,ReO3,ReO2,0.4,7.0,298.15,mp-11,mp-11,Pm-3m,P2_1/c,Cubic,Monoclinic,10.1073/pnas.2320134121,ReO3/ReO2 oxide redox
232,ReO2/Re,ReO2,Re,0.3,7.0,298.15,mp-11,mp-11,P2_1/c,P63/mmc,Monoclinic,Hexagonal,10.1073/pnas.2320134121,ReO2/Re oxide redox
233,OsO4/OsO2,OsO4,OsO2,0.85,7.0,298.15,mp-103,mp-103,P4_2/mnm,P2_1/c,Tetragonal,Monoclinic,10.1073/pnas.2320134121,OsO4/OsO2 oxide redox
234,RuO4/RuO2,RuO4,RuO2,1.4,7.0,298.15,mp-864,mp-864,P4_2/mnm,P4_2/mnm,Tetragonal,Tetragonal,10.1073/pnas.2320134121,RuO4/RuO2 oxide redox
235,PbO2/PbO,PbO2,PbO,0.248,7.0,298.15,mp-20529,mp-20529,P4_2/mnm,P4_2/mnm,Tetragonal,Tetragonal,10.1073/pnas.2320134121,PbO2/PbO oxide redox
236,Mn2O3/MnO,Mn2O3,MnO,0.45,7.0,298.15,mp-19017,mp-19006,R-3c,Fm-3m,Rhombohedral,Cubic,10.1073/pnas.2320134121,Mn2O3/MnO oxide redox
237,CoO/Co3O4,CoO,Co3O4,-0.53,7.0,298.15,mp-19006,mp-18712,Fm-3m,Fd-3m,Cubic,Cubic,10.1073/pnas.2320134121,CoO/Co3O4 oxide redox
238,FeO/Fe3O4,FeO,Fe3O4,-0.43,7.0,298.15,mp-19006,mp-19306,Fm-3m,Fd-3m,Cubic,Cubic,10.1073/pnas.2320134121,FeO/Fe3O4 oxide redox
239,FeO/Fe2O3,FeO,Fe2O3,-0.28,7.0,298.15,mp-19006,mp-19770,Fm-3m,R-3c,Cubic,Rhombohedral,10.1073/pnas.2320134121,FeO/Fe2O3 oxide redox
240,Benzoquinone/Hydroquinone,C6H4O2,C6H4(OH)2,0.699,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,Benzoquinone/Hydroquinone + 2H+ + 2e- -> reduced form
241,"1,2-Benzoquinone/1,2-Dihydroxybenzene",C6H4O2,C6H4(OH)2,0.79,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"1,2-Benzoquinone/1,2-Dihydroxybenzene + 2H+ + 2e- -> reduced form"
242,Naphthoquinone/Naphthohydroquinone,C10H6O2,C10H6(OH)2,0.48,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,Naphthoquinone/Naphthohydroquinone + 2H+ + 2e- -> reduced form
243,Anthraquinone/Anthrahydroquinone,C14H8O2,C14H8(OH)2,0.15,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,Anthraquinone/Anthrahydroquinone + 2H+ + 2e- -> reduced form
244,"9,10-Phenanthrenequinone/Phenanthrenehydroquinone",C14H8O2,C14H8(OH)2,0.44,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"9,10-Phenanthrenequinone/Phenanthrenehydroquinone + 2H+ + 2e- -> reduced form"
245,2-Methylbenzoquinone/2-Methylhydroquinone,C6H3(CH3)O2,C6H3(CH3)(OH)2,0.64,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,2-Methylbenzoquinone/2-Methylhydroquinone + 2H+ + 2e- -> reduced form
246,"2,5-Dimethylbenzoquinone/2,5-Dimethylhydroquinone",C6H2(CH3)2O2,C6H2(CH3)2(OH)2,0.58,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,5-Dimethylbenzoquinone/2,5-Dimethylhydroquinone + 2H+ + 2e- -> reduced form"
247,"2,3-Dimethylbenzoquinone/2,3-Dimethylhydroquinone",C6H2(CH3)2O2,C6H2(CH3)2(OH)2,0.56,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,3-Dimethylbenzoquinone/2,3-Dimethylhydroquinone + 2H+ + 2e- -> reduced form"
248,"2,6-Dimethylbenzoquinone/2,6-Dimethylhydroquinone",C6H2(CH3)2O2,C6H2(CH3)2(OH)2,0.59,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,6-Dimethylbenzoquinone/2,6-Dimethylhydroquinone + 2H+ + 2e- -> reduced form"
249,Trimethylbenzoquinone/Trimethylhydroquinone,C6H(CH3)3O2,C6H(CH3)3(OH)2,0.53,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,Trimethylbenzoquinone/Trimethylhydroquinone + 2H+ + 2e- -> reduced form
250,Duroquinone/Durohydroquinone,C6(CH3)4O2,C6(CH3)4(OH)2,0.51,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,Duroquinone/Durohydroquinone + 2H+ + 2e- -> reduced form
251,2-Chlorobenzoquinone/2-Chlorohydroquinone,C6H3ClO2,C6H3Cl(OH)2,0.66,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,2-Chlorobenzoquinone/2-Chlorohydroquinone + 2H+ + 2e- -> reduced form
252,2-Bromobenzoquinone/2-Bromohydroquinone,C6H3BrO2,C6H3Br(OH)2,0.67,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,2-Bromobenzoquinone/2-Bromohydroquinone + 2H+ + 2e- -> reduced form
253,"2,5-Dichlorobenzoquinone/2,5-Dichlorohydroquinone",C6H2Cl2O2,C6H2Cl2(OH)2,0.71,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,5-Dichlorobenzoquinone/2,5-Dichlorohydroquinone + 2H+ + 2e- -> reduced form"
254,"2,3-Dichlorobenzoquinone/2,3-Dichlorohydroquinone",C6H2Cl2O2,C6H2Cl2(OH)2,0.69,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,3-Dichlorobenzoquinone/2,3-Dichlorohydroquinone + 2H+ + 2e- -> reduced form"
255,"2,6-Dichlorobenzoquinone/2,6-Dichlorohydroquinone",C6H2Cl2O2,C6H2Cl2(OH)2,0.71,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,6-Dichlorobenzoquinone/2,6-Dichlorohydroquinone + 2H+ + 2e- -> reduced form"
256,"2,3,5-Trichlorobenzoquinone/2,3,5-Trichlorohydroquinone",C6HCl3O2,C6HCl3(OH)2,0.8,0.0,298.15,mp-6773,mp-6773,P2_1/c,P2_1/c,Monoclinic,Monoclinic,10.1038/s41597-022-01832-2,"2,3,5-Trichlorobenzoquinone/2,3,5-Trichlorohydroquinone + 2H+ + 2e- -> reduced form"
